Feature_ID	English	Language_ID	Language name (-dialect)	Family	Region	Value	Alignment	Cognatesets	Source
1	sun	kola1287	Wersing-Kolana	Timor-Alor-Pantar	Timor	widí	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	p-alor1249	proto-AP	Timor-Alor-Pantar		*wadi	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	p-timo1261	proto-TAP	Timor-Alor-Pantar		*wad(i, u)	nan	nan	datasets/taplanguagesmay2016.tsv
1	sun	p-east2519	proto-TIM	Timor-Alor-Pantar		*waTu	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ˈwulɑ̃	nan	nan	datasets/lmhadmk20150518wordlist.tsv
2	moon	cent2245-hewa	Hewa	Austronesian	Flores	ʋulan	nan	nan	datasets/hwamk20150514wordlist.tsv
2	moon	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	ˈwula	nan	nan	datasets/lmhlimk20150524wordlist.tsv
2	moon	sika1262	Sika	Austronesian	Flores		nan	nan	datasets/skihf2013wordlist.tsv
2	moon	keda1252	Kedang	Austronesian	Lembata	wu'la	nan	nan	datasets/kedmk20150521wordlistchanges201507.tsv
2	moon	keda1252	Kedang	Austronesian	Lembata	wu'la	nan	nan	datasets/kedmk20150521wordlist.tsv
2	moon	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	vuˈlan	nan	nan	datasets/lhhf2015clembatakalikasawordlist.tsv
2	moon	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	vuˈlan	nan	nan	datasets/lhhf2015clembatakalikasa2015511wordlist.tsv
2	moon	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ˈvulan dʒ͡e kəˈləm	nan	nan	datasets/lhhf2016lerek2016222wordlist.tsv
2	moon	alor1247-baran	Alorese-Baranusa	Austronesian	Pantar	'fulaŋ	nan	nan	datasets/aolbaranusamk2003wordlist.tsv
2	moon	idat1237	Idate	Austronesian	Timor	'hula	nan	nan	datasets/idtmk2002wordlistidate.tsv
2	moon	kema1243	Kemak	Austronesian	Timor	'hula	nan	nan	datasets/kemmk2002wordlist.tsv
2	moon	laka1255	Lakalei 	Austronesian	Timor	'hul 'kai	nan	nan	datasets/lkamk2002wordlist.tsv
2	moon	mamb1306	Mambai	Austronesian	Timor	hul'kai	nan	nan	datasets/mgmmk2002wordlist.tsv
2	moon	tetu1246	Tetun Dili 	Austronesian	Timor	'fulɑn	nan	nan	datasets/tdttetundilimk2002wordlist.tsv
2	moon	tetu1245-suai	Tetun Terik-Suai 	Austronesian	Timor	fulaŋ	nan	nan	datasets/tdttetunteriksuaimk20160105wordlist.tsv
2	moon	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	fulaŋ	nan	nan	datasets/tdtterikviquequemk20160105wordlist.tsv
2	moon	tuku1254	Tokodede	Austronesian	Timor	'hula	nan	nan	datasets/tkdmk2002wordlist.tsv
2	moon	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	ije	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	atim1239	Abui-Atimelang	Timor-Alor-Pantar	Alor	ije	nan	nan	datasets/abzatimelangas2010wordlist.tsv
2	moon	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	ije	nan	nan	datasets/abzfuimelangas2010wordlist.tsv
2	moon	abui1241-fuime	Abui-Fuimelang	Timor-Alor-Pantar	Alor	ije	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	i.'jä	nan	nan	datasets/abztakalelanggs201505wordlist.tsv
2	moon	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	iya	nan	nan	datasets/abztakalelanggs201505wordlist.tsv
2	moon	adan1251	Adang-Lawahing	Timor-Alor-Pantar	Alor	hu:l	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	hama1240	Hamap-Moru	Timor-Alor-Pantar	Alor	ul	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kabo1247	Kabola-Monbang	Timor-Alor-Pantar	Alor	wul	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kafo1240	Kafoa-Probur	Timor-Alor-Pantar	Alor	ʔu.a	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kama1365	Kamang-Atoitaa	Timor-Alor-Pantar	Alor	wud	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kira1248	Kiraman	Timor-Alor-Pantar	Alor	ur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	klon	Klon	Timor-Alor-Pantar	Alor	ur	nan	nan	datasets/kyohc20151021wordlist.tsv
2	moon	kelo1247-bring	Klon-Bring	Timor-Alor-Pantar	Alor	ʊr	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kuii1253	Kui-Moru	Timor-Alor-Pantar	Alor	ur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kula1280	Kula	Timor-Alor-Pantar	Alor	pilawaka	nan	nan	datasets/tpghc20151002wordlist.tsv
2	moon	kula1280-lanto	Kula-Lantoka	Timor-Alor-Pantar	Alor	pilawəka	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	rett1240	Reta	Timor-Alor-Pantar	Alor	úru	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	sawi1256	Sawila	Timor-Alor-Pantar	Alor	pilaka	nan	nan	datasets/swthc20151026wordlist.tsv
2	moon	sawi1256	Sawila	Timor-Alor-Pantar	Alor	pileaka	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	baka1276	Blagar-Bakalang	Timor-Alor-Pantar	Pantar	húru	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	blag1240-bama	Blagar-Bama	Timor-Alor-Pantar	Pantar	uru	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	blag1240-kulij	Blagar-Kulijahi	Timor-Alor-Pantar	Pantar	uru	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	blag1240-nule	Blagar-Nule	Timor-Alor-Pantar	Pantar	wuru	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	blag1240-tuntu	Blagar-Tuntuli	Timor-Alor-Pantar	Pantar	wúru	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	blag1240-warsa	Blagar-Warsalelang	Timor-Alor-Pantar	Pantar	uru	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	dein1238	Deing	Timor-Alor-Pantar	Pantar	wur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	Pantar	ur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	kaer1234-o	Kaera-Abangiwang (Orthographic)	Timor-Alor-Pantar	Pantar	ur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	nede1245	Nedebang	Timor-Alor-Pantar	Pantar	hula	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	alor1249-sar-adiabang	Sar-Adiabang	Timor-Alor-Pantar	Pantar	wur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	alor1249-sar-nule	Sar-Nule	Timor-Alor-Pantar	Pantar	wur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	teiw1235	Teiwa-Lebang	Timor-Alor-Pantar	Pantar	wur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	lamm1241	Western Pantar-Tubbe	Timor-Alor-Pantar	Pantar	hi	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	pura1258	Blagar-Pura	Timor-Alor-Pantar	Pura	uru	nan	nan	datasets/beupuramk20160511wordlist.tsv
2	moon	buna1278	Bunak (Orthographic)	Timor-Alor-Pantar	Timor	meagol gini oeh	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	bunakbobonaro	Bunaq-Bobonaro	Timor-Alor-Pantar	Timor	hul	nan	nan	datasets/bfnbobonaromk201601wordlist.tsv
2	moon	buna1278-malia	Bunaq-Maliana	Timor-Alor-Pantar	Timor	'hul	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	bunaksuai	Bunaq-Suai	Timor-Alor-Pantar	Timor	hul	nan	nan	datasets/bfnsuaimk201601wordlist.tsv
2	moon	fata1247	Fataluku	Timor-Alor-Pantar	Timor	uru	nan	nan	datasets/ddgmk20160112wordlist.tsv
2	moon	maka1316	Makasae	Timor-Alor-Pantar	Timor	uru	nan	nan	datasets/mkzmk20160112wordlist.tsv
2	moon	wers1238	Wersing	Timor-Alor-Pantar	Timor	urak	nan	nan	datasets/kvwhc20151026wordlist.tsv
2	moon	kola1287	Wersing-Kolana	Timor-Alor-Pantar	Timor	urák	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	p-alor1249	proto-AP	Timor-Alor-Pantar		*wur	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	p-timo1261	proto-TAP	Timor-Alor-Pantar		*hur(u)	nan	nan	datasets/taplanguagesmay2016.tsv
2	moon	p-east2519	proto-TIM	Timor-Alor-Pantar		*huru	nan	nan	datasets/taplanguagesmay2016.tsv
3	star	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ʔetɜp	nan	nan	datasets/lmhadmk20150518wordlist.tsv
3	star	cent2245-hewa	Hewa	Austronesian	Flores	dala	nan	nan	datasets/hwamk20150514wordlist.tsv
3	star	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	ˈpətala	nan	nan	datasets/lmhlimk20150524wordlist.tsv
3	star	sika1262	Sika	Austronesian	Flores	dala	nan	nan	datasets/skihf2013wordlist.tsv
3	star	keda1252	Kedang	Austronesian	Lembata	ma'le	nan	nan	datasets/kedmk20150521wordlistchanges201507.tsv
3	star	keda1252	Kedang	Austronesian	Lembata	ma'le	nan	nan	datasets/kedmk20150521wordlist.tsv
3	star	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	toˈnar	nan	nan	datasets/lhhf2015clembatakalikasawordlist.tsv
3	star	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	toˈnar	nan	nan	datasets/lhhf2015clembatakalikasa2015511wordlist.tsv
3	star	sout2896-lerek	Lerek Lamaholot	Austronesian	Lembata	ˈtonar	nan	nan	datasets/lhhf2016lerek2016222wordlist.tsv
3	star	alor1247-baran	Alorese-Baranusa	Austronesian	Pantar	ta'mala	nan	nan	datasets/aolbaranusamk2003wordlist.tsv
3	star	idat1237	Idate	Austronesian	Timor	'hitu	nan	nan	datasets/idtmk2002wordlistidate.tsv
3	star	kema1243	Kemak	Austronesian	Timor	'hitu	nan	nan	datasets/kemmk2002wordlist.tsv
3	star	laka1255	Lakalei 	Austronesian	Timor	'hitu	nan	nan	datasets/lkamk2002wordlist.tsv
