# Wordlist

# DATA
ID	CONCEPT_ID	CONCEPT	DOCULECT_ID	DOCULECT	FAMILY	REGION	VALUE	ALIGNMENT	COGNATE_SET	SOURCE	SEGMENTS
21292	208.0	1pl incl	sawi1256	Sawila	Timor-Alor-Pantar	Alor	inu		nan		i n u
21879	208.0	1pl incl	tetu1245-vique	Tetun Terik-Viqueque	Austronesian	Timor	ita		nan		i t a
22498	208.0	1pl incl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ta		nan		t a
22499	208.0	1pl incl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ˈtite		nan		ˈt i t e
23367	208.0	1pl incl	mamb1306	Mambai	Austronesian	Timor	'ʔit		nan		ˈʔ i t
23641	208.0	1pl incl	laka1255	Lakalei 	Austronesian	Timor	'ʔita		nan		ˈʔ i t a
24044	208.0	1pl incl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ta		nan		t a
24045	208.0	1pl incl	sout2896-kalik	Lembata-Kalikasa	Austronesian	Lembata	ˈtite		nan		ˈt i t e
24906	208.0	1pl incl	abui1241-takal	Abui-Takalelang	Timor-Alor-Pantar	Alor	'pi.dɔ		nan		ˈp i d ɔ
24907	208.0	1pl incl	abui1241-takal-o	Abui-Takalelang (Orthographic)	Timor-Alor-Pantar	Alor	pido		nan		p i d o
25916	208.0	1pl incl	buna1278-bobon	Bunak-Bobonaro	Timor-Alor-Pantar	Timor	i:		1		iː
26498	208.0	1pl incl	keda1252	Kedang	Austronesian	Lembata	teː		a		t eː
26983	208.0	1pl incl	tetu1246	Tetun Dili 	Austronesian	Timor	'ʔita		nan		ˈʔ i t a
27251	208.0	1pl incl	idat1237	Idate	Austronesian	Timor	'ʔita		nan		ˈʔ i t a
27619	208.0	1pl incl	adon1237	Lamaholot-Adonara	Austronesian	Adonara	ˈtite		a		ˈt i t e
28204	208.0	1pl incl	maka1316	Makasae	Timor-Alor-Pantar	Timor	fi:		nan		f iː
#
199	203.0	1sg	keda1252	Kedang	Austronesian	Lembata	ɛʔi		c		ɛ ʔ i
785	203.0	1sg	kelo1247	Klon	Timor-Alor-Pantar	Alor	na:n		nan		n aː n
1417	203.0	1sg	cent2245-hewa	Hewa	Austronesian	Flores	aʔu		nan		a ʔ u
1943	203.0	1sg	tuku1254	Tokodede	Austronesian	Timor	'ʔa:		nan		ˈʔ aː
2322	203.0	1sg	adan1251	Adang	Timor-Alor-Pantar	Alor	nari		1		n a r i
2908	203.0	1sg	lama1278	Lamaholot-Lewoingu	Austronesian	Flores	ɡoː		b		ɡ oː
3370	203.0	1sg	sika1262	Sika	Austronesian	Flores	aʔu		a		a ʔ u
8442	203.0	1sg	kaer1234	Kaera-Abangiwang	Timor-Alor-Pantar	Pantar	na:ŋ		1		n aː ŋ
