Value	Feature_ID	Language_ID	Comment	Loan	Cognate Set	Reference
kar ʔə'ruk ʔə'wa: 'ʔut	473.0	kelo1247-hopte				
kar ʔə'ruk ʔə'wa: a'weh	474.0	kelo1247-hopte				
kar 'tɔŋ	475.0	kelo1247-hopte				
kar 'ʔut	476.0	kelo1247-hopte				
kar ʔə'weh	477.0	kelo1247-hopte				
kar tə'la:n	478.0	kelo1247-hopte				
kar ʔu'sɔŋ	479.0	kelo1247-hopte				
kar tid ʔə'ruk	480.0	kelo1247-hopte				
kar tuk ɛi'nuk	481.0	kelo1247-hopte				
ʔɛska 'nuk	482.0	kelo1247-hopte				
ʔɛska 'nuk kar ʔə'ruk ʔə'wa: 'tɔŋ	483.0	kelo1247-hopte				
ʔɛska a'ruk	484.0	kelo1247-hopte				
rib 'nuk	485.0	kelo1247-hopte				
rib ʔɛska 'nuk	486.0	kelo1247-hopte				
ni'dɔ:l	487.0	kelo1247-hopte	1sg poss prefix			
ni'dum	488.0	kelo1247-hopte	1 sg poss prefix			
'dat	489.0	kelo1247-hopte				
dat'ja:	489.0	kelo1247-hopte				
ma: 'ja:r	490.0	kelo1247-hopte				
'dɔd	491.0	kelo1247-hopte				
'ʔɔm 'ʔum	492.0	kelo1247-hopte				
'ʔɔm 'ʔɔ:l	493.0	kelo1247-hopte				
gi ʔe'dɔ:l	494.0	kelo1247-hopte				
'gɔi 'ʔa:l	495.0	kelo1247-hopte				
'gɔi kə'kɛŋ	495.0	kelo1247-hopte				
'ʔɔl 'gegik 'ɔl	496.0	kelo1247-hopte				
ʔik 'ʔum	497.0	kelo1247-hopte				
gi ʔe'duɲ	498.0	kelo1247-hopte				
ge'na:ɟ	499.0	kelo1247-hopte				
ge'kar'nɔk	500.0	kelo1247-hopte				
'man gi ʔe'dɔl	501.0	kelo1247-hopte				
'kɔ:r	502.0	kelo1247-hopte				
'hek	503.0	kelo1247-hopte				
ɔn 'hek	503.0	kelo1247-hopte				
hə'bu:r	504.0	kelo1247-hopte				
ʔə'lɔr 'a:l	505.0	kelo1247-hopte				
'dur	506.0	kelo1247-hopte				
ʔom ʔə'wi: laŋ 'ja:r	507.0	kelo1247-hopte				
'ɔ:t go'mi	508.0	kelo1247-hopte				
ʔə'lei	509.0	kelo1247-hopte				
bukɔl'do:k	510.0	kelo1247-hopte				
ʔə'da 'gɛ:n	511.0	kelo1247-hopte				
li:p	512.0	kelo1247-hopte				
kə'dɛ:r	513.0	kelo1247-hopte				
mi'hi:	514.0	kelo1247-hopte				
pa:n	515.0	kelo1247-hopte				
gə'di:ŋ mər'ha:ɲ	516.0	kelo1247-hopte				
'bad	517.0	kelo1247-hopte				
'ba:b	518.0	kelo1247-hopte				
ʔə'la:	519.0	kelo1247-hopte				
'dɛk gi'la:ŋ	520.0	kelo1247-hopte				
'kɛn	521.0	kelo1247-hopte				
'hɛ:p bə'li	522.0	kelo1247-hopte				
'kap	523.0	kelo1247-hopte				
'mɔ:p	524.0	kelo1247-hopte				
'na:i ma'hɔ:l	525.0	kelo1247-hopte				
mid ma'gei tu'mi gi'tɛŋ 'ta	526.0	kelo1247-hopte				
lah'tal	527.0	kelo1247-hopte				
'mɔ:p	528.0	kelo1247-hopte				
gə'reɟ	529.0	kelo1247-hopte				
mɛs'ɟid	530.0	kelo1247-hopte				
te ɛ'rin tɔ'baŋ	531.0	kelo1247-hopte				
u'bi:n u'bei	531.0	kelo1247-hopte				
pan'dita	532.0	kelo1247-hopte				
haha'ram	533.0	kelo1247-hopte				
a'gam ba'ha:r	534.0	kelo1247-hopte				
'wo:m u'huih	535.0	kelo1247-hopte				
gɔ'luk gɔ'hɔl	536.0	kelo1247-hopte				
ʔə'lɔr	537.0	kelo1247-hopte				
aram 'gi kə'dɛh	538.0	kelo1247-hopte				
prɛnta	539.0	kelo1247-hopte				
ta'wum ta'bei	540.0	kelo1247-hopte				
tin 'mɛd tin 'puɲ	541.0	kelo1247-hopte				
'le:j	542.0	kelo1247-hopte				
'ninuk	542.0	kelo1247-hopte				
ʔɛ'lɛ:	543.0	kelo1247-hopte				
