Feature_ID	Language_ID	Value	English	Language name (-dialect)	Family	Region	Comment	Alignment	Cognate Set	Source	Loan	Reference
305.0	mamb1306	'hɔgɔ	thick	Mambai	Austronesian	4Timor, 2Central		ˈh ɔ - - g ɔ -	6556.0			
306.0	mamb1306	bə'loru	round	Mambai	Austronesian	4Timor, 2Central		- b ə ˈl o r u	5774.0			
307.0	mamb1306	'hɔda	dark	Mambai	Austronesian	4Timor, 2Central		ˈh ɔ d a	6766.0			
309.0	mamb1306	'tita	dirty	Mambai	Austronesian	4Timor, 2Central		ˈt i t a	6710.0			
311.0	mamb1306	'hɑti	sharp	Mambai	Austronesian	4Timor, 2Central		ˈh ɑ - - t i -	3637.0			
312.0	mamb1306	'bou	blunt; dull	Mambai	Austronesian	4Timor, 2Central		ˈb o - - u	822.0			
313.0	mamb1306	mə'dɛd	heavy	Mambai	Austronesian	4Timor, 2Central		m ə - - ˈd ɛ d	92.0			
315.0	mamb1306	də'lɔ:	straight	Mambai	Austronesian	4Timor, 2Central		d ə ˈl ɔː	5867.0			
316.0	mamb1306	m'lua	wide	Mambai	Austronesian	4Timor, 2Central		m - ˈl u a - - -	6517.0			
318.0	mamb1306	do'lo:	correct	Mambai	Austronesian	4Timor, 2Central		d o ˈl oː -	8.0			
320.0	mamb1306	'mami	ripe	Mambai	Austronesian	4Timor, 2Central		ˈm a m - - i -	4969.0			
321.0	mamb1306	'hɔ:	rotten	Mambai	Austronesian	4Timor, 2Central		ˈh ɔː	6731.0			
326.0	mamb1306	'rɛma	flat	Mambai	Austronesian	4Timor, 2Central		- ˈr ɛ m - a - -	140.0			
329.0	mamb1306	'mɛta	black	Mambai	Austronesian	4Timor, 2Central		ˈm ɛ t a - - -	200.0			
330.0	mamb1306	'buti	white	Mambai	Austronesian	4Timor, 2Central		ˈb u t i - -	6523.0			
331.0	mamb1306	'mɛra	red	Mambai	Austronesian	4Timor, 2Central		- ˈm ɛ r a -	183.0			
332.0	mamb1306	'mɔrɔ	green	Mambai	Austronesian	4Timor, 2Central		- ˈm ɔ - - r ɔ -	6445.0			
334.0	mamb1306	gə'me:	yellow	Mambai	Austronesian	4Timor, 2Central		g ə ˈm - - eː -	17.0			
341.0	mamb1306	t'mɑu	scared	Mambai	Austronesian	4Timor, 2Central		t ˈm ɑ u	1388.0			
344.0	mamb1306	'plig	to hear	Mambai	Austronesian	4Timor, 2Central		ˈp l i g	6686.0			
345.0	mamb1306	'nuh	to smell	Mambai	Austronesian	4Timor, 2Central	to smell at sth.; to smell from afar	ˈn u - h	6736.0			
345.0	mamb1306	penel	to smell	Mambai	Austronesian	4Timor, 2Central	to smell at sth.; to smell from afar	p e n e l	6737.0			
346.0	mamb1306	di'mil	to think	Mambai	Austronesian	4Timor, 2Central		d i - - ˈm i l -	1023.0			
347.0	mamb1306	'tad	to know	Mambai	Austronesian	4Timor, 2Central		ˈt a d - - -	2693.0			
348.0	mamb1306	'tou	to say	Mambai	Austronesian	4Timor, 2Central		ˈt o u	6685.0			
349.0	mamb1306	'gase	to speak	Mambai	Austronesian	4Timor, 2Central		ˈg a s e	1333.0			
352.0	mamb1306	'boɛ	to lie down	Mambai	Austronesian	4Timor, 2Central		ˈb o - ɛ	6706.0			
353.0	mamb1306	'boɛ 'haɛ	to sleep	Mambai	Austronesian	4Timor, 2Central		ˈb o ɛ _ ˈh a - ɛ -	6577.0			
356.0	mamb1306	'riu	to bathe	Mambai	Austronesian	4Timor, 2Central		- - ˈr i u -	6400.0			
357.0	mamb1306	'riu ɑn'lɔba	to bathe (a child)	Mambai	Austronesian	4Timor, 2Central		- ˈr i u - _ ɑ n ˈl ɔ b a	6460.0			
358.0	mamb1306	mə'dei	to sit	Mambai	Austronesian	4Timor, 2Central		- - m ə ˈd e i - -	299.0			
359.0	mamb1306	mə'ri:	to stand	Mambai	Austronesian	4Timor, 2Central		- - m ə ˈr iː -	9242.0			
360.0	mamb1306	lo'lɑi	to walk	Mambai	Austronesian	4Timor, 2Central		l o - ˈl ɑ - i	5976.0			
363.0	mamb1306	'na:n	to swim	Mambai	Austronesian	4Timor, 2Central		ˈn aː n - -	181.0			
364.0	mamb1306	'luh	to fly	Mambai	Austronesian	4Timor, 2Central		- ˈl u h - -	2573.0			
365.0	mamb1306	'mou	to fall (from above)	Mambai	Austronesian	4Timor, 2Central		ˈm o - - - u	4400.0			
368.0	mamb1306	'e:n	to drink	Mambai	Austronesian	4Timor, 2Central		- ˈeː n	6724.0			
369.0	mamb1306	'mua	to eat	Mambai	Austronesian	4Timor, 2Central		ˈm u - a	6677.0			
370.0	mamb1306	'tui	to cook	Mambai	Austronesian	4Timor, 2Central		ˈt u - i -	288.0			
371.0	mamb1306	'has	to wash	Mambai	Austronesian	4Timor, 2Central		- - ˈh a s -	63.0			
372.0	mamb1306	'sɔr	to sew	Mambai	Austronesian	4Timor, 2Central		ˈs ɔ - r - -	47.0			
373.0	mamb1306	'muɛr	to live; be alive; living	Mambai	Austronesian	4Timor, 2Central	to live (animal); to live (person)	ˈm u ɛ r - -	81.0			
373.0	mamb1306	mori	to live; be alive; living	Mambai	Austronesian	4Timor, 2Central	to live (animal); to live (person)	m o - r i -	81.0			
374.0	mamb1306	'dad 'snuga	to breathe	Mambai	Austronesian	4Timor, 2Central	breathe	ˈd a d _ ˈs n u g a	6740.0			
375.0	mamb1306	sir'bis	to work	Mambai	Austronesian	4Timor, 2Central		s i r - ˈb i s -	5606.0			
376.0	mamb1306	'maɛt	to die	Mambai	Austronesian	4Timor, 2Central		ˈm a ɛ t - - -	97.0			
