ID,Lect_ID,Concept_ID,Form,Segments,Comment,Source
179,kabo1247,rat,dul,d u l,,datasets_Kabola_Monbang_tsv
180,kabo1247,lizard,teko,t e k o,,datasets_Kabola_Monbang_tsv
181,kabo1247,civet_cat,hol meneme,h o l _ m e n e m e,,datasets_Kabola_Monbang_tsv
182,kabo1247,deer,(h)ol,o l,,datasets_Kabola_Monbang_tsv
183,kabo1247,deer,(h)ol,h o l,,datasets_Kabola_Monbang_tsv
184,kabo1247,frog,ʤikuj paʔa,dʒ i k u j _ p a ʔ a,,datasets_Kabola_Monbang_tsv
185,kabo1247,bat,me'rereŋ,m e r e r e ŋ,,datasets_Kabola_Monbang_tsv
186,kabo1247,tail,ʔol paʔa,ʔ o l _ p a ʔ a,(minimal pair with ʔor ‘throw’),datasets_Kabola_Monbang_tsv
187,kabo1247,fish,hab,h a b,,datasets_Kabola_Monbang_tsv
188,kabo1247,shark,ab moti,a b _ m o t i,"(lit., ‘big fish’?)",datasets_Kabola_Monbang_tsv
189,kabo1247,whale,to:b,t oː b,,datasets_Kabola_Monbang_tsv
190,kabo1247,crocodile,baʔai,b a ʔ a i,,datasets_Kabola_Monbang_tsv
191,kabo1247,monitor_lizard,ha'lese,h a l e s e,,datasets_Kabola_Monbang_tsv
192,kabo1247,turtle,ʤiku,dʒ i k u,,datasets_Kabola_Monbang_tsv
193,kabo1247,turtle_saltwater,ʤiku,dʒ i k u,,datasets_Kabola_Monbang_tsv
194,kabo1247,bird,siu,s i u, (also chicken),datasets_Kabola_Monbang_tsv
195,kabo1247,wing,awitiŋ,a w i t i ŋ,,datasets_Kabola_Monbang_tsv
196,kabo1247,horn,amʊʔu,a m ʊ ʔ u,,datasets_Kabola_Monbang_tsv
197,kabo1247,snake,mon,m o n,,datasets_Kabola_Monbang_tsv
198,kabo1247,scorpion,pali,p a l i,,datasets_Kabola_Monbang_tsv
199,kabo1247,scorpion,palʤ,p a l dʒ,,datasets_Kabola_Monbang_tsv
200,kabo1247,egg,(siu) doʔ,d o ʔ,,datasets_Kabola_Monbang_tsv
201,kabo1247,egg,(siu) doʔ,s i u _ d o ʔ,,datasets_Kabola_Monbang_tsv
202,kabo1247,earthworm,ka'reʔe,k a r e ʔ e,,datasets_Kabola_Monbang_tsv
203,kabo1247,butterfly,popoʔo,p o p o ʔ o,,datasets_Kabola_Monbang_tsv
204,kabo1247,fly,lebeŋ,l e b e ŋ,,datasets_Kabola_Monbang_tsv
205,kabo1247,mosquito,kiʔin,k i ʔ i n,,datasets_Kabola_Monbang_tsv
206,kabo1247,ant,leʔiliŋ,l e ʔ i l i ŋ,,datasets_Kabola_Monbang_tsv
